[?1034h# status = used/unused (1/0)
# ieta(ix) -- iphi(iy) --
-85 1 0 0.96162 0.0278877
-85 2 0 0.96442 0.0275299
-85 3 0 0.94092 0.0277744
-85 4 0 0.98280 0.0275733
-85 5 0 0.96945 0.0271983
-85 6 0 0.99277 0.0279398
-85 7 0 1.01998 0.0300830
-85 8 0 0.92599 0.0258430
-85 9 0 1.00535 0.0274589
-85 10 0 1.06184 0.0284041
-85 11 0 1.02289 0.0278037
-85 12 0 0.99126 0.0272124
-85 13 0 0.96296 0.0281356
-85 14 0 1.01267 0.0287286
-85 15 0 1.02139 0.0274860
-85 16 0 1.01661 0.0275006
-85 17 0 1.00950 0.0274592
-85 18 0 1.00719 0.0276581
-85 19 0 0.94730 0.0267065
-85 20 0 1.01934 0.0281976
-85 21 0 0.98919 0.0286742
-85 22 0 0.98564 0.0268952
-85 23 0 1.00360 0.0275229
-85 24 0 1.11747 0.0289714
-85 25 0 1.03339 0.0263591
-85 26 0 1.05292 0.0264358
-85 27 0 0.99165 0.0254867
-85 28 0 0.99621 0.0269527
-85 29 0 0.87919 0.0240142
-85 30 0 0.98239 0.0262929
-85 31 0 0.94691 0.0260617
-85 32 0 0.88708 0.0241212
-85 33 0 0.93944 0.0252103
-85 34 0 0.87999 0.0230730
-85 35 0 0.87325 0.0237235
-85 36 0 0.95385 0.0246475
-85 37 0 0.95873 0.0254616
-85 38 0 0.92496 0.0232826
-85 39 0 0.96528 0.0253627
-85 40 0 0.97607 0.0261436
-85 41 0 1.32125 0.0332852
-85 42 0 0.86425 0.0235561
-85 43 0 1.32720 0.0326018
-85 44 0 1.10659 0.0267468
-85 45 0 1.02708 0.0236500
-85 46 0 0.93042 0.0258050
-85 47 0 0.85303 0.0231725
-85 48 0 0.82796 0.0232913
-85 49 0 0.78659 0.0228522
-85 50 0 0.85837 0.0236519
-85 51 0 0.84887 0.0239556
-85 52 0 0.91586 0.0237922
-85 53 0 0.89602 0.0247996
-85 54 0 0.94424 0.0264369
-85 55 0 0.87941 0.0231454
-85 56 0 0.86405 0.0226045
-85 57 0 0.99540 0.0281361
-85 58 0 0.87045 0.0236595
-85 59 0 0.85045 0.0238029
-85 60 0 0.85791 0.0243018
-85 61 0 0.99162 0.0298329
-85 62 0 1.08884 0.0301298
-85 63 0 1.04232 0.0283533
-85 64 0 1.09871 0.0297537
-85 65 0 0.89396 0.0239243
-85 66 0 0.94393 0.0252926
-85 67 0 0.94261 0.0267938
-85 68 0 0.95478 0.0257833
-85 69 0 0.99084 0.0276381
-85 70 0 1.11752 0.0280435
-85 71 0 0.93758 0.0249436
-85 72 0 1.01242 0.0267961
-85 73 0 0.82880 0.0233513
-85 74 0 1.01713 0.0277184
-85 75 0 0.89362 0.0244300
-85 76 0 0.93288 0.0246066
-85 77 0 0.88393 0.0244830
-85 78 0 1.08199 0.0292424
-85 79 0 1.01294 0.0284872
-85 80 0 1.08620 0.0304695
-85 81 0 0.88505 0.0250731
-85 82 0 0.95197 0.0254878
-85 83 0 0.95130 0.0262839
-85 84 0 0.88081 0.0237959
-85 85 0 0.89440 0.0241680
-85 86 0 0.89333 0.0240731
-85 87 0 0.97287 0.0270181
-85 88 0 0.99725 0.0258642
-85 89 0 1.02628 0.0268997
-85 90 0 0.96661 0.0250258
-85 91 0 1.00439 0.0272955
-85 92 0 0.96836 0.0258473
-85 93 0 0.92453 0.0254543
-85 94 0 0.86097 0.0233928
-85 95 0 0.96441 0.0292258
-85 96 0 0.92759 0.0258501
-85 97 0 0.96111 0.0265335
-85 98 0 1.04061 0.0286035
-85 99 0 0.98035 0.0262918
-85 100 0 0.94097 0.0244768
-85 101 0 0.88483 0.0253892
-85 102 0 0.81826 0.0213754
-85 103 0 0.93833 0.0260011
-85 104 0 0.82479 0.0230285
-85 105 0 0.84831 0.0236460
-85 106 0 0.92357 0.0256388
-85 107 0 0.87691 0.0239795
-85 108 0 0.93347 0.0250154
-85 109 0 0.87539 0.0239314
